Interatomic distances:
37 10 4.924770
37 11 8.224562
37 12 2.889575
37 13 8.145973
37 14 4.862554
37 15 2.802745
37 16 7.051376
37 17 4.985077
37 18 7.093571
37 19 3.986013
37 20 7.147992
37 21 4.076786
37 22 8.816772
37 23 7.860826
37 24 7.278967
37 25 2.864129
37 26 9.246502
37 27 2.832479
37 28 7.643763
37 29 6.299807
37 30 5.689355
37 31 2.789837
37 32 9.194958
37 33 6.381834
37 34 9.218189
37 35 5.734158
37 36 9.622099
38 0 5.725772
38 1 7.587751
38 2 4.830256
38 3 5.606343
38 4 5.005421
38 5 6.291980
38 6 7.164313
38 7 4.971904
38 8 7.126324
38 9 6.496180
38 10 8.224570
38 11 4.924769
38 12 8.145973
38 13 2.889575
38 14 4.862546
38 15 7.051372
38 16 2.802745
38 17 7.093563
38 18 4.985072
38 19 7.147992
38 20 3.986013
38 21 8.816765
38 22 4.076793
38 23 7.278962
38 24 7.860826
38 25 9.246495
38 26 2.864127
38 27 7.643763
38 28 2.832479
38 29 5.689355
38 30 6.299807
38 31 9.194949
38 32 2.789841
38 33 9.218183
38 34 6.381837
38 35 9.622093
38 36 5.734155
38 37 9.563709
39 0 2.787522
39 1 10.087921
39 2 4.663274
39 3 7.220290
39 4 2.782036
39 5 8.404403
39 6 2.854030
39 7 9.251043
39 8 4.772319
39 9 9.687039
39 10 9.168813
39 11 5.587638
39 12 8.385064
39 13 4.649443
39 14 5.523098
39 15 5.509252
39 16 6.687607
39 17 6.701969
39 18 7.335291
39 19 4.052347
39 20 7.907101
39 21 5.538018
39 22 9.247820
39 23 7.445758
39 24 9.355399
39 25 7.858771
39 26 7.325617
39 27 6.897659
39 28 5.550457
39 29 5.031555
39 30 7.417567
39 31 4.975787
39 32 9.129738
39 33 7.298918
39 34 10.009479
39 35 9.073222
39 36 8.418292
39 37 7.340699
39 38 7.296947
40 0 10.087926
40 1 2.787517
40 2 7.220294
40 3 4.663275
40 4 8.404412
40 5 2.782043
40 6 9.251044
40 7 2.854039
40 8 9.687041
40 9 4.772321
40 10 5.587638
40 11 9.168813
40 12 4.649446
40 13 8.385074
40 14 5.523101
40 15 6.687599
40 16 5.509250
40 17 7.335291
40 18 6.701974
